iteration 	 keff 	 	 error	
1	0.88975	 	-0.11025
2	0.984179	 	0.0944288
3	0.996923	 	0.0127447
4	0.999193	 	0.00227018
5	0.999624	 	0.000430932
6	0.999708	 	8.32274e-05
7	0.999724	 	1.61555e-05
8	0.999727	 	3.14254e-06
9	0.999727	 	6.12341e-07
10	0.999728	 	1.21982e-07
11	0.999728	 	2.49238e-08
12	0.999728	 	9.50039e-09
13	0.999728	 	3.83409e-09
14	0.999728	 	9.20701e-10

URRa-2-0-SL  delx = 0.0945857 keff= 0.999728 with error: 9.20701e-10

pos	 flux1 	 	 flux2
0	3.88981	 	1.40348	 	
1	3.88862	 	1.40305	 	
2	3.88623	 	1.40218	 	
3	3.88265	 	1.40087	 	
4	3.87788	 	1.39913	 	
5	3.87192	 	1.39695	 	
6	3.86477	 	1.39435	 	
7	3.85644	 	1.3913	 	
8	3.84692	 	1.38783	 	
9	3.83622	 	1.38392	 	
10	3.82435	 	1.37959	 	
11	3.8113	 	1.37482	 	
12	3.79708	 	1.36962	 	
13	3.7817	 	1.364	 	
14	3.76516	 	1.35796	 	
15	3.74746	 	1.35148	 	
16	3.72862	 	1.34459	 	
17	3.70863	 	1.33727	 	
18	3.6875	 	1.32954	 	
19	3.66524	 	1.32138	 	
20	3.64186	 	1.31282	 	
21	3.61736	 	1.30383	 	
22	3.59175	 	1.29444	 	
23	3.56504	 	1.28464	 	
24	3.53724	 	1.27442	 	
25	3.50835	 	1.26381	 	
26	3.47838	 	1.25279	 	
27	3.44735	 	1.24137	 	
28	3.41527	 	1.22955	 	
29	3.38213	 	1.21733	 	
30	3.34796	 	1.20473	 	
31	3.31276	 	1.19173	 	
32	3.27655	 	1.17834	 	
33	3.23933	 	1.16456	 	
34	3.20112	 	1.1504	 	
35	3.16193	 	1.13586	 	
36	3.12177	 	1.12094	 	
37	3.08066	 	1.10565	 	
38	3.0386	 	1.08998	 	
39	2.99561	 	1.07393	 	
40	2.9517	 	1.05752	 	
41	2.90689	 	1.04074	 	
42	2.86119	 	1.02359	 	
43	2.81461	 	1.00607	 	
44	2.76717	 	0.988199	 	
45	2.71888	 	0.969962	 	
46	2.66975	 	0.951364	 	
47	2.61981	 	0.932408	 	
48	2.56907	 	0.913093	 	
49	2.51753	 	0.893421	 	
50	2.46523	 	0.873391	 	
51	2.41216	 	0.853004	 	
52	2.35835	 	0.83226	 	
53	2.30382	 	0.811157	 	
54	2.24857	 	0.789694	 	
55	2.19263	 	0.767871	 	
56	2.136	 	0.745684	 	
57	2.07871	 	0.723131	 	
58	2.02077	 	0.700209	 	
59	1.96219	 	0.676915	 	
60	1.90299	 	0.653242	 	
61	1.84318	 	0.629187	 	
62	1.78277	 	0.604742	 	
63	1.72176	 	0.579901	 	
64	1.66018	 	0.554654	 	
65	1.59802	 	0.528994	 	
66	1.53528	 	0.502907	 	
67	1.47195	 	0.476382	 	
68	1.40802	 	0.449403	 	
69	1.34346	 	0.421953	 	
70	1.27821	 	0.39401	 	
71	1.21221	 	0.365549	 	
72	1.14533	 	0.336535	 	
73	1.0774	 	0.306926	 	
74	1.00816	 	0.276665	 	
75	0.937215	 	0.24567	 	
76	0.86399	 	0.213813	 	
77	0.787642	 	0.180842	 	
78	0.706924	 	0.145965	 	
79	0.62002	 	0.105186	 	


iteration 	 keff 	 	 error	
1	 	0.890615	 	-0.109385
2	 	0.984768	 	0.0941528
3	 	0.997528	 	0.0127602
4	 	0.999807	 	0.00227896
5	 	1.00024	 	0.000433806
6	 	1.00033	 	8.40261e-05
7	 	1.00034	 	1.63605e-05
8	 	1.00034	 	3.18974e-06
9	 	1.00035	 	6.25136e-07
10	 	1.00035	 	1.23184e-07
11	 	1.00035	 	2.64674e-08
12	 	1.00035	 	9.5119e-09
13	 	1.00035	 	3.83379e-09
14	 	1.00035	 	9.2034e-10
URRa-2-0-SL  delx = 0.0945857 keff= 1.00035 with error: 9.2034e-10

pos	 flux1 	 	 flux2
0	3.89043	 	1.40383	 	
1	3.88924	 	1.40339	 	
2	3.88686	 	1.40252	 	
3	3.88328	 	1.40122	 	
4	3.87852	 	1.39948	 	
5	3.87256	 	1.3973	 	
6	3.86542	 	1.3947	 	
7	3.85709	 	1.39166	 	
8	3.84759	 	1.38818	 	
9	3.8369	 	1.38428	 	
10	3.82504	 	1.37995	 	
11	3.812	 	1.37519	 	
12	3.7978	 	1.36999	 	
13	3.78243	 	1.36438	 	
14	3.76591	 	1.35833	 	
15	3.74822	 	1.35187	 	
16	3.7294	 	1.34498	 	
17	3.70942	 	1.33767	 	
18	3.68832	 	1.32994	 	
19	3.66608	 	1.32179	 	
20	3.64272	 	1.31323	 	
21	3.61824	 	1.30426	 	
22	3.59266	 	1.29487	 	
23	3.56597	 	1.28507	 	
24	3.53819	 	1.27487	 	
25	3.50933	 	1.26426	 	
26	3.47939	 	1.25325	 	
27	3.44839	 	1.24184	 	
28	3.41633	 	1.23003	 	
29	3.38323	 	1.21782	 	
30	3.34909	 	1.20522	 	
31	3.31392	 	1.19223	 	
32	3.27774	 	1.17885	 	
33	3.24056	 	1.16509	 	
34	3.20238	 	1.15094	 	
35	3.16322	 	1.13641	 	
36	3.1231	 	1.1215	 	
37	3.08202	 	1.10622	 	
38	3.04	 	1.09055	 	
39	2.99704	 	1.07452	 	
40	2.95317	 	1.05812	 	
41	2.9084	 	1.04135	 	
42	2.86274	 	1.02421	 	
43	2.8162	 	1.00671	 	
44	2.76879	 	0.988844	 	
45	2.72055	 	0.970618	 	
46	2.67146	 	0.952031	 	
47	2.62156	 	0.933086	 	
48	2.57086	 	0.913782	 	
49	2.51937	 	0.894121	 	
50	2.46711	 	0.874102	 	
51	2.41409	 	0.853726	 	
52	2.36033	 	0.832992	 	
53	2.30584	 	0.8119	 	
54	2.25064	 	0.790448	 	
55	2.19475	 	0.768634	 	
56	2.13818	 	0.746457	 	
57	2.08094	 	0.723914	 	
58	2.02305	 	0.701001	 	
59	1.96453	 	0.677715	 	
60	1.90539	 	0.654051	 	
61	1.84564	 	0.630003	 	
62	1.7853	 	0.605565	 	
63	1.72437	 	0.58073	 	
64	1.66287	 	0.555489	 	
