iteration 	 keff 	 	 error	
1	 	0.91393	 	-0.0860704
2	 	0.989898	 	0.0759686
3	 	0.995856	 	0.00595758
4	 	0.996431	 	0.000575249
5	 	0.996489	 	5.77384e-05
6	 	0.996495	 	5.83938e-06
7	 	0.996495	 	5.92424e-07
8	 	0.996495	 	6.0467e-08
9	 	0.996495	 	9.61363e-09
10	 	0.996495	 	3.45607e-09
11	 	0.996495	 	1.06256e-09
12	 	0.996495	 	1.01871e-09
13	 	0.996495	 	9.75544e-10
UAL-2-0-SL  delx = 0.783078 keff= 0.996495 with error: 9.75544e-10

pos	 flux1 	 	 flux2
0	1.68989	 	0.299222	 	
1	2.32155	 	0.540986	 	
2	2.85609	 	0.731429	 	
3	3.3324	 	0.900397	 	
4	3.75267	 	1.0411	 	
5	4.11226	 	1.15926	 	
6	4.40608	 	1.25364	 	
7	4.62976	 	1.32382	 	
8	4.77985	 	1.37247	 	
9	4.85398	 	1.39291	 	
10	4.75193	 	1.3652	 	
11	4.27946	 	1.21478	 	
12	3.41115	 	0.927494	 	
13	2.11826	 	0.458401	 	


iteration 	 keff 	 	 error	
1	 	0.916225	 	-0.083775
2	 	0.994228	 	0.0780028
3	 	1.00076	 	0.00653239
4	 	1.00145	 	0.000689726
5	 	1.00153	 	7.65486e-05
6	 	1.00154	 	8.60094e-06
7	 	1.00154	 	9.67408e-07
8	 	1.00154	 	1.1078e-07
9	 	1.00154	 	1.45532e-08
10	 	1.00154	 	4.78698e-09
11	 	1.00154	 	2.13671e-09
12	 	1.00154	 	1.00498e-09
13	 	1.00154	 	9.63508e-10
UAL-2-0-SL  delx = 0.156616 keff= 1.00154 with error: 9.63508e-10

pos	 flux1 	 	 flux2
0	1.41312	 	0.189602	 	
1	1.56126	 	0.254789	 	
2	1.70092	 	0.308994	 	
3	1.83369	 	0.359038	 	
4	1.96084	 	0.406652	 	
5	2.08332	 	0.452391	 	
6	2.20186	 	0.496507	 	
7	2.31698	 	0.539151	 	
8	2.42908	 	0.580433	 	
9	2.53845	 	0.620431	 	
10	2.64529	 	0.65921	 	
11	2.74974	 	0.69682	 	
12	2.85189	 	0.733302	 	
13	2.9518	 	0.768691	 	
14	3.04951	 	0.803014	 	
15	3.14501	 	0.836295	 	
16	3.23832	 	0.868554	 	
17	3.3294	 	0.899809	 	
18	3.41824	 	0.930073	 	
19	3.50481	 	0.959358	 	
20	3.58907	 	0.987676	 	
21	3.67099	 	1.01503	 	
22	3.75052	 	1.04144	 	
23	3.82763	 	1.06689	 	
24	3.90228	 	1.09141	 	
25	3.97442	 	1.11498	 	
26	4.04401	 	1.13762	 	
27	4.11103	 	1.15932	 	
28	4.17542	 	1.18009	 	
29	4.23715	 	1.19992	 	
30	4.29618	 	1.21883	 	
31	4.35248	 	1.23679	 	
32	4.40602	 	1.25383	 	
33	4.45677	 	1.26993	 	
34	4.50469	 	1.28509	 	
35	4.54975	 	1.29932	 	
36	4.59194	 	1.3126	 	
37	4.63122	 	1.32495	 	
38	4.66757	 	1.33635	 	
39	4.70096	 	1.34681	 	
40	4.73139	 	1.35633	 	
41	4.75882	 	1.36489	 	
42	4.78325	 	1.37251	 	
43	4.80466	 	1.37918	 	
44	4.82303	 	1.38491	 	
45	4.83836	 	1.38967	 	
46	4.85063	 	1.39349	 	
47	4.85984	 	1.39635	 	
48	4.86599	 	1.39826	 	
49	4.86906	 	1.39921	 	
50	4.86906	 	1.39921	 	
51	4.86599	 	1.39826	 	
52	4.85984	 	1.39635	 	
53	4.85063	 	1.39349	 	
54	4.83836	 	1.38967	 	
55	4.82303	 	1.38491	 	
56	4.80466	 	1.37918	 	
57	4.78325	 	1.37251	 	
58	4.75882	 	1.36489	 	
59	4.73139	 	1.35633	 	
60	4.70096	 	1.34681	 	
61	4.66757	 	1.33635	 	
62	4.63122	 	1.32495	 	
63	4.59194	 	1.3126	 	
64	4.54975	 	1.29932	 	
65	4.50469	 	1.28509	 	
66	4.45677	 	1.26993	 	
67	4.40602	 	1.25383	 	
68	4.35248	 	1.23679	 	
69	4.29618	 	1.21883	 	
70	4.23715	 	1.19992	 	
71	4.17542	 	1.18009	 	
72	4.11103	 	1.15932	 	
73	4.04401	 	1.13762	 	
74	3.97442	 	1.11498	 	
75	3.90228	 	1.09141	 	
76	3.82763	 	1.06689	 	
77	3.75052	 	1.04144	 	
78	3.67099	 	1.01503	 	
79	3.58907	 	0.987676	 	
80	3.50481	 	0.959358	 	
81	3.41824	 	0.930073	 	
82	3.3294	 	0.899809	 	
83	3.23832	 	0.868554	 	
84	3.14501	 	0.836295	 	
85	3.04951	 	0.803014	 	
86	2.9518	 	0.768691	 	
87	2.85189	 	0.733302	 	
88	2.74974	 	0.69682	 	
89	2.64529	 	0.65921	 	
90	2.53845	 	0.620431	 	
91	2.42908	 	0.580433	 	
92	2.31698	 	0.539151	 	
93	2.20186	 	0.496507	 	
94	2.08332	 	0.452391	 	
95	1.96084	 	0.406652	 	
96	1.83369	 	0.359038	 	
97	1.70092	 	0.308994	 	
98	1.56126	 	0.254789	 	
99	1.41312	 	0.189602	 	


iteration 	 keff 	 	 error	
1	 	0.916244	 	-0.0837559
2	 	0.994264	 	0.0780198
3	 	1.0008	 	0.00653733
4	 	1.00149	 	0.000690759
5	 	1.00157	 	7.67266e-05
6	 	1.00158	 	8.62863e-06
7	 	1.00158	 	9.734e-07
8	 	1.00158	 	1.09509e-07
9	 	1.00158	 	1.28262e-08
10	 	1.00158	 	2.6661e-09
11	 	1.00158	 	1.12879e-09
12	 	1.00158	 	3.46684e-10
UAL-2-0-SL  delx = 0.0783078 keff= 1.00158 with error: 3.46684e-10

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.916244	 	-0.0837559
2	 	0.994264	 	0.0780198
3	 	1.0008	 	0.00653733
4	 	1.00149	 	0.000690759
5	 	1.00157	 	7.67266e-05
6	 	1.00158	 	8.62863e-06
7	 	1.00158	 	9.734e-07
8	 	1.00158	 	1.09509e-07
9	 	1.00158	 	1.28262e-08
10	 	1.00158	 	2.6661e-09
11	 	1.00158	 	1.12879e-09
12	 	1.00158	 	3.46684e-10
UAL-2-0-SL  delx = 0.0783078 keff= 1.00158 with error: 3.46684e-10

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.916244	 	-0.0837559
2	 	0.994264	 	0.0780198
3	 	1.0008	 	0.00653733
4	 	1.00149	 	0.000690753
5	 	1.00157	 	7.67279e-05
6	 	1.00158	 	8.62813e-06
7	 	1.00158	 	9.69042e-07
8	 	1.00158	 	1.16281e-07
9	 	1.00158	 	2.57813e-08
10	 	1.00158	 	7.39709e-09
11	 	1.00158	 	3.4807e-09
12	 	1.00158	 	3.33843e-09
13	 	1.00158	 	3.19848e-09
14	 	1.00158	 	3.06124e-09
15	 	1.00158	 	2.92703e-09
16	 	1.00158	 	2.79622e-09
17	 	1.00158	 	2.66908e-09
18	 	1.00158	 	2.54585e-09
19	 	1.00158	 	2.42666e-09
20	 	1.00158	 	2.31164e-09
21	 	1.00158	 	2.20087e-09
22	 	1.00158	 	2.09433e-09
23	 	1.00158	 	1.99205e-09
24	 	1.00158	 	1.89397e-09
25	 	1.00158	 	1.80003e-09
26	 	1.00158	 	1.71016e-09
27	 	1.00158	 	1.62425e-09
28	 	1.00158	 	1.54221e-09
29	 	1.00158	 	1.46392e-09
30	 	1.00158	 	1.38926e-09
31	 	1.00158	 	1.3181e-09
32	 	1.00158	 	1.25033e-09
33	 	1.00158	 	1.18581e-09
34	 	1.00158	 	1.12442e-09
35	 	1.00158	 	1.06603e-09
36	 	1.00158	 	1.01051e-09
37	 	1.00158	 	9.57755e-10
38	 	1.00158	 	9.07632e-10
39	 	1.00158	 	8.60018e-10
40	 	1.00158	 	8.14819e-10
41	 	1.00158	 	7.71907e-10
42	 	1.00158	 	7.31182e-10
43	 	1.00158	 	6.92543e-10
44	 	1.00158	 	6.55889e-10
45	 	1.00158	 	6.21124e-10
46	 	1.00158	 	5.88159e-10
47	 	1.00158	 	5.56904e-10
48	 	1.00158	 	5.2727e-10
49	 	1.00158	 	4.99188e-10
50	 	1.00158	 	4.72578e-10
51	 	1.00158	 	4.47353e-10
52	 	1.00158	 	4.2346e-10
53	 	1.00158	 	4.0082e-10
54	 	1.00158	 	3.79376e-10
55	 	1.00158	 	3.5907e-10
56	 	1.00158	 	3.39828e-10
57	 	1.00158	 	3.21613e-10
58	 	1.00158	 	3.04359e-10
59	 	1.00158	 	2.88023e-10
60	 	1.00158	 	2.72557e-10
61	 	1.00158	 	2.57914e-10
62	 	1.00158	 	2.44053e-10
63	 	1.00158	 	2.30927e-10
64	 	1.00158	 	2.18507e-10
65	 	1.00158	 	2.06751e-10
66	 	1.00158	 	1.9562e-10
67	 	1.00158	 	1.85087e-10
68	 	1.00158	 	1.75121e-10
69	 	1.00158	 	1.65683e-10
70	 	1.00158	 	1.56753e-10
71	 	1.00158	 	1.4831e-10
72	 	1.00158	 	1.40314e-10
73	 	1.00158	 	1.32749e-10
74	 	1.00158	 	1.25596e-10
75	 	1.00158	 	1.18818e-10
76	 	1.00158	 	1.12414e-10
77	 	1.00158	 	1.06348e-10
78	 	1.00158	 	1.00616e-10
79	 	1.00158	 	9.51879e-11
UAL-2-0-SL  delx = 0.0783078 keff= 1.00158 with error: 9.51879e-11

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.916156	 	-0.083844
2	 	0.994169	 	0.0780126
3	 	1.0007	 	0.00653434
4	 	1.0014	 	0.000695198
5	 	1.00147	 	7.68334e-05
6	 	1.0015	 	2.18109e-05
7	 	1.0015	 	7.66053e-06
8	 	1.00151	 	3.60597e-06
9	 	1.00151	 	3.4591e-06
10	 	1.00151	 	3.31448e-06
11	 	1.00152	 	3.17255e-06
12	 	1.00152	 	3.03372e-06
13	 	1.00152	 	2.89835e-06
14	 	1.00153	 	2.76676e-06
15	 	1.00153	 	2.63917e-06
16	 	1.00153	 	2.51577e-06
17	 	1.00153	 	2.39667e-06
18	 	1.00154	 	2.28194e-06
19	 	1.00154	 	2.1716e-06
20	 	1.00154	 	2.06564e-06
21	 	1.00154	 	1.96403e-06
22	 	1.00154	 	1.8667e-06
23	 	1.00155	 	1.77358e-06
24	 	1.00155	 	1.68455e-06
25	 	1.00155	 	1.59953e-06
26	 	1.00155	 	1.51838e-06
27	 	1.00155	 	1.44099e-06
28	 	1.00155	 	1.36723e-06
29	 	1.00156	 	1.29698e-06
30	 	1.00156	 	1.23009e-06
31	 	1.00156	 	1.16644e-06
32	 	1.00156	 	1.1059e-06
33	 	1.00156	 	1.04834e-06
34	 	1.00156	 	9.93626e-07
UAL-2-0-SL  delx = 0.0783078 keff= 1.00156 with error: 9.93626e-07

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.916156	 	-0.083844
2	 	0.994169	 	0.0780126
3	 	1.0007	 	0.00653434
4	 	1.0014	 	0.000695198
5	 	1.00147	 	7.68334e-05
6	 	1.0015	 	2.18109e-05
7	 	1.0015	 	7.66053e-06
8	 	1.00151	 	3.60597e-06
9	 	1.00151	 	3.4591e-06
10	 	1.00151	 	3.31448e-06
11	 	1.00152	 	3.17255e-06
12	 	1.00152	 	3.03372e-06
13	 	1.00152	 	2.89835e-06
14	 	1.00153	 	2.76676e-06
15	 	1.00153	 	2.63917e-06
16	 	1.00153	 	2.51577e-06
17	 	1.00153	 	2.39667e-06
18	 	1.00154	 	2.28194e-06
19	 	1.00154	 	2.1716e-06
20	 	1.00154	 	2.06564e-06
21	 	1.00154	 	1.96403e-06
22	 	1.00154	 	1.8667e-06
23	 	1.00155	 	1.77358e-06
24	 	1.00155	 	1.68455e-06
25	 	1.00155	 	1.59953e-06
26	 	1.00155	 	1.51838e-06
27	 	1.00155	 	1.44099e-06
28	 	1.00155	 	1.36723e-06
29	 	1.00156	 	1.29698e-06
30	 	1.00156	 	1.23009e-06
31	 	1.00156	 	1.16644e-06
32	 	1.00156	 	1.1059e-06
33	 	1.00156	 	1.04834e-06
34	 	1.00156	 	9.93626e-07
UAL-2-0-SL  delx = 0.0783078 keff= 1.00156 with error: 9.93626e-07

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	1.60753	 	0.607527
2	 	1.75105	 	0.143521
3	 	1.77501	 	0.0239645
4	 	1.78037	 	0.00535912
5	 	1.78166	 	0.00128433
6	 	1.78197	 	0.000316464
7	 	1.78205	 	7.56011e-05
8	 	1.78208	 	2.8672e-05
9	 	1.78209	 	1.43995e-05
10	 	1.7821	 	6.41359e-06
11	 	1.7821	 	2.02447e-06
12	 	1.7821	 	1.9692e-06
13	 	1.7821	 	1.91477e-06
14	 	1.78211	 	1.86107e-06
15	 	1.78211	 	1.80802e-06
16	 	1.78211	 	1.75561e-06
UAL-2-0-SL  delx = 0.156616 keff= 1.78211 with error: 1.75561e-06

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.916142	 	-0.0838577
2	 	0.994158	 	0.0780158
3	 	1.00069	 	0.00653633
4	 	1.00139	 	0.000692025
5	 	1.00147	 	8.25901e-05
