iter 	 keff 	 	 error	
1	    0.907896	 	-0.0921036
2	    0.990708	 	0.0828117
3	    1.00271	 	0.012
4	    1.00496	 	0.002256
5	    1.00542	 	0.000451776
6	    1.00551	 	9.21316e-05
7	    1.00553	 	1.88964e-05
8	    1.00553	 	3.88194e-06
9	    1.00553	 	7.99439e-07
10	    1.00553	 	1.66061e-07
11	    1.00553	 	3.52309e-08
12	    1.00553	 	1.06183e-08
13	    1.00553	 	3.65503e-09
14	    1.00553	 	1.702e-09
15	    1.00553	 	8.19979e-10


URRa-2-1-SL  delx = 0.118699 keff= 1.00553 with error: 8.19979e-10

pos	 flux1 	 	 flux2
0	3.81623	 	1.38536	 	
1	3.81514	 	1.38495	 	
2	3.81296	 	1.38415	 	
3	3.80968	 	1.38294	 	
4	3.80532	 	1.38133	 	
5	3.79986	 	1.37932	 	
6	3.79332	 	1.3769	 	
7	3.78569	 	1.37409	 	
8	3.77697	 	1.37087	 	
9	3.76718	 	1.36726	 	
10	3.7563	 	1.36324	 	
11	3.74435	 	1.35883	 	
12	3.73133	 	1.35402	 	
13	3.71724	 	1.34881	 	
14	3.70208	 	1.34321	 	
15	3.68587	 	1.33722	 	
16	3.6686	 	1.33083	 	
17	3.65027	 	1.32404	 	
18	3.6309	 	1.31687	 	
19	3.61049	 	1.30931	 	
20	3.58905	 	1.30136	 	
21	3.56657	 	1.29302	 	
22	3.54308	 	1.2843	 	
23	3.51856	 	1.27519	 	
24	3.49304	 	1.2657	 	
25	3.46651	 	1.25583	 	
26	3.43899	 	1.24558	 	
27	3.41049	 	1.23496	 	
28	3.381	 	1.22395	 	
29	3.35054	 	1.21258	 	
30	3.31912	 	1.20082	 	
31	3.28674	 	1.1887	 	
32	3.25342	 	1.17621	 	
33	3.21916	 	1.16335	 	
34	3.18398	 	1.15012	 	
35	3.14787	 	1.13652	 	
36	3.11086	 	1.12256	 	
37	3.07296	 	1.10824	 	
38	3.03416	 	1.09355	 	
39	2.99449	 	1.0785	 	
40	2.95395	 	1.06309	 	
41	2.91256	 	1.04732	 	
42	2.87033	 	1.0312	 	
43	2.82726	 	1.01471	 	
44	2.78337	 	0.997858	 	
45	2.73867	 	0.98065	 	
46	2.69318	 	0.963082	 	
47	2.6469	 	0.945153	 	
48	2.59984	 	0.926862	 	
49	2.55203	 	0.908207	 	
50	2.50346	 	0.889188	 	
51	2.45416	 	0.869801	 	
52	2.40413	 	0.850044	 	
53	2.35339	 	0.829913	 	
54	2.30195	 	0.809406	 	
55	2.24982	 	0.788517	 	
56	2.19701	 	0.767242	 	
57	2.14353	 	0.745575	 	
58	2.0894	 	0.72351	 	
59	2.03462	 	0.701038	 	
60	1.97921	 	0.678152	 	
61	1.92316	 	0.654842	 	
62	1.86649	 	0.631097	 	
63	1.80919	 	0.606907	 	
64	1.75126	 	0.582256	 	
65	1.6927	 	0.557129	 	
66	1.6335	 	0.53151	 	
67	1.57362	 	0.505378	 	
68	1.51305	 	0.47871	 	
69	1.45173	 	0.451481	 	
70	1.38959	 	0.423657	 	
71	1.32655	 	0.395201	 	
72	1.26246	 	0.366067	 	
73	1.19717	 	0.336196	 	
74	1.13043	 	0.305511	 	
75	1.06192	 	0.273902	 	
76	0.991233	 	0.241191	 	
77	0.917795	 	0.206996	 	
78	0.840864	 	0.170219	 	
79	0.759465	 	0.126874	 	


