
**************************************************
*         .-~*~~~*~-.                           *
*        .-~~~~~~~~~-.                           *
*       /  X       X  \                          *
*      |    .-----.    |                         *
*       \  '_______'  /                          *
*        `-.........-'                           *
* *  ____   ___  ____ ____                       *
*   |  _ \ / _ \_   _| __ )                      *
*   | | | | | | || | |  _ \                      *
*   | |_| | |_| || | | |_) |                     *
*   |____/ \___/ |_| |____/                      *
* *
*   Discrete Ordinate with Two Braincells        *
**************************************************
    
IAEA-Pool	1 group
XS file: iaea_pool.xs
S-4	 quad set, 	 mesh refinement: 16

iteration 	 keff 	 	 error 	 	 iteration 
1	 	0.90260413	 	-0.10790541	 	535
2	 	0.93903015	 	0.03879111	 	322
3	 	0.95601386	 	0.01776512	 	312
4	 	0.96598243	 	0.01031962	 	305
5	 	0.97263070	 	0.00683535	 	302
6	 	0.97746150	 	0.00494219	 	300
7	 	0.98119809	 	0.00380820	 	298
8	 	0.98422601	 	0.00307644	 	296
9	 	0.98676541	 	0.00257346	 	293
10	 	0.98894871	 	0.00220770	 	291
11	 	0.99085926	 	0.00192818	 	288
12	 	0.99255173	 	0.00170517	 	284
13	 	0.99406351	 	0.00152080	 	281
14	 	0.99542139	 	0.00136412	 	277
15	 	0.99664533	 	0.00122807	 	273
16	 	0.99775096	 	0.00110812	 	268
17	 	0.99875086	 	0.00100115	 	264
18	 	0.99965567	 	0.00090512	 	259
19	 	1.00047448	 	0.00081842	 	254
20	 	1.00121532	 	0.00073994	 	249
21	 	1.00188536	 	0.00066878	 	244
22	 	1.00249105	 	0.00060419	 	239
23	 	1.00303827	 	0.00054556	 	234
24	 	1.00353235	 	0.00049235	 	229
25	 	1.00397821	 	0.00044409	 	224
26	 	1.00438030	 	0.00040034	 	219
27	 	1.00474273	 	0.00036071	 	214
28	 	1.00506923	 	0.00032485	 	209
29	 	1.00536323	 	0.00029244	 	203
30	 	1.00562782	 	0.00026311	 	198
31	 	1.00586585	 	0.00023664	 	193
32	 	1.00607991	 	0.00021277	 	188
33	 	1.00627234	 	0.00019123	 	183
34	 	1.00644528	 	0.00017183	 	178
35	 	1.00660065	 	0.00015435	 	173
36	 	1.00674019	 	0.00013861	 	168
37	 	1.00686551	 	0.00012446	 	163
38	 	1.00697801	 	0.00011172	 	158
39	 	1.00707899	 	0.00010027	 	153
40	 	1.00716962	 	0.00008998	 	148
41	 	1.00725092	 	0.00008072	 	144
42	 	1.00732389	 	0.00007244	 	139
43	 	1.00738935	 	0.00006498	 	134
44	 	1.00744807	 	0.00005829	 	129
45	 	1.00750071	 	0.00005225	 	125
46	 	1.00754795	 	0.00004689	 	120
47	 	1.00759029	 	0.00004202	 	116
48	 	1.00762829	 	0.00003771	 	111
49	 	1.00766234	 	0.00003379	 	107
50	 	1.00769287	 	0.00003030	 	103
51	 	1.00772024	 	0.00002717	 	99
52	 	1.00774479	 	0.00002436	 	95
53	 	1.00776685	 	0.00002189	 	90
54	 	1.00778654	 	0.00001954	 	87
55	 	1.00780425	 	0.00001757	 	83
56	 	1.00782014	 	0.00001576	 	79
57	 	1.00783433	 	0.00001408	 	76
58	 	1.00784712	 	0.00001269	 	72
59	 	1.00785853	 	0.00001132	 	69
60	 	1.00786884	 	0.00001023	 	65
61	 	1.00787801	 	0.00000910	 	62
IAEA-Pool  refinement = 16 S-4 keff= 1.00787801
flux distribution is saved in the flux_IAEA-Pool.m and .py file script
--- End of calculation ---

